,defense,denoise succ.,FID
0,defense_label_t=1,23.66,24.953648766108923
1,defense_label_t=2,23.92,24.9178594153268
2,defense_label_t=5,28.30,24.522359444754464
3,defense_label_t=10,35.22,27.31338933672224
4,defense_label_t=20,42.19,36.905662111554825
5,defense_label_t=30,41.53,44.38748906271798
6,defense_label_t=40,41.48,50.83126181466239
7,defense_label_t=100,35.06,72.53820187159947
